time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,time/time_elapsed
200,50.0,659,0.0001,0.6797913312911987,4,0.8099999999999998,-14.625,24,0
400,50.0,657,0.0001,0.74981689453125,8,0.6199999999999997,-6.25,74,0
600,50.0,628,0.0001,0.7617719173431396,12,0.4299999999999995,-1.5,124,0
800,50.0,608,0.0001,1.0844272375106812,16,0.24000000000000044,-1.03125,174,1
1000,50.0,594,0.0001,0.5503097176551819,20,0.050000000000000266,1.775,224,1
1200,50.0,592,0.0001,0.946701169013977,24,0.05,5.270833333333333,274,2
1400,50.0,519,0.0001,0.1196187436580658,28,0.05,7.553571428571429,324,2
1600,50.0,522,0.0001,1.0165736675262451,32,0.05,9.8125,374,3
1800,50.0,532,0.0001,0.3007811903953552,36,0.05,8.958333333333334,424,3
2000,50.0,538,0.0001,0.7816278338432312,40,0.05,8.0125,474,3
2200,50.0,546,0.0001,0.7491883039474487,44,0.05,7.8522727272727275,524,4
2400,50.0,546,0.0001,0.9092769026756287,48,0.05,9.5,574,4
2600,50.0,548,0.0001,1.1358726024627686,52,0.05,11.490384615384615,624,4
2800,50.0,531,0.0001,0.5888553261756897,56,0.05,11.258928571428571,674,5
3000,50.0,507,0.0001,0.511944055557251,60,0.05,12.191666666666666,724,5
3200,50.0,494,0.0001,1.0669217109680176,64,0.05,12.8203125,774,6
3400,50.0,482,0.0001,0.6993560194969177,68,0.05,13.102941176470589,824,7
3600,50.0,477,0.0001,0.9528316855430603,72,0.05,13.86111111111111,874,7
3800,50.0,480,0.0001,0.6154948472976685,76,0.05,15.269736842105264,924,7
4000,50.0,483,0.0001,0.7851660251617432,80,0.05,15.79375,974,8
4200,50.0,486,0.0001,0.6284043192863464,84,0.05,16.0,1024,8
4400,50.0,489,0.0001,0.7400869131088257,88,0.05,17.119318181818183,1074,8
4600,50.0,492,0.0001,0.629533052444458,92,0.05,17.956521739130434,1124,9
4800,50.0,493,0.0001,0.7368303537368774,96,0.05,18.84375,1174,9
5000,50.0,491,0.0001,0.5659540891647339,100,0.05,19.405,1224,10
5200,50.0,493,0.0001,0.6024167537689209,104,0.05,21.56,1274,10
5400,50.0,493,0.0001,0.8850576877593994,108,0.05,23.01,1324,10
5600,50.0,494,0.0001,0.46583127975463867,112,0.05,24.025,1374,11
5800,50.0,496,0.0001,0.6379832625389099,116,0.05,25.59,1424,11
6000,50.0,497,0.0001,0.45597901940345764,120,0.05,26.355,1474,12
6200,50.0,494,0.0001,0.41611236333847046,124,0.05,26.91,1524,12
6400,50.0,483,0.0001,0.5885826349258423,128,0.05,27.645,1574,13
6600,50.0,483,0.0001,0.5241004824638367,132,0.05,28.225,1624,13
6800,50.0,479,0.0001,0.844580352306366,136,0.05,29.265,1674,14
7000,50.0,472,0.0001,1.0338256359100342,140,0.05,30.545,1724,14
7200,50.0,470,0.0001,0.9823214411735535,144,0.05,31.465,1774,15
7400,50.0,466,0.0001,0.49013280868530273,148,0.05,32.08,1824,15
7600,50.0,465,0.0001,0.2506139278411865,152,0.05,32.7,1874,16
7800,50.0,453,0.0001,1.0190598964691162,156,0.05,34.11,1924,17
8000,50.0,452,0.0001,0.5136690735816956,160,0.05,34.61,1974,17
8200,50.0,451,0.0001,0.314473420381546,164,0.05,35.5,2024,18
8400,50.0,450,0.0001,0.3138713538646698,168,0.05,36.53,2074,18
8600,50.0,449,0.0001,0.678034782409668,172,0.05,36.665,2124,19
8800,50.0,448,0.0001,0.21927426755428314,176,0.05,36.8,2174,19
9000,50.0,445,0.0001,0.46012169122695923,180,0.05,37.135,2224,20
9200,50.0,442,0.0001,0.31574761867523193,184,0.05,38.4,2274,20
9400,50.0,440,0.0001,0.34457361698150635,188,0.05,38.235,2324,21
9600,50.0,440,0.0001,0.4503971338272095,192,0.05,38.1,2374,21
9800,50.0,440,0.0001,0.25241777300834656,196,0.05,37.985,2424,22
10000,50.0,441,0.0001,0.5316362977027893,200,0.05,38.59,2474,22
